user_id,group,device,age_group,session_duration_sec,add_to_cart,checkout,purchased,order_value
U06253,treatment,mobile,18-24,129,0,0,0,0
U04685,control,desktop,25-34,74,0,0,0,0
U01732,control,desktop,18-24,92,0,0,0,0
U04743,control,mobile,35-44,87,1,0,0,0
U04522,control,mobile,25-34,48,0,0,0,0
U06341,treatment,desktop,25-34,118,1,0,0,0
U00577,control,mobile,25-34,99,0,0,0,0
U05203,treatment,mobile,35-44,119,1,1,1,218613
U06364,treatment,mobile,25-34,101,0,0,0,0
U00440,control,mobile,35-44,89,1,1,1,136496
U02751,control,mobile,18-24,88,0,0,0,0
U07488,treatment,desktop,25-34,82,1,0,0,0
U05273,treatment,mobile,25-34,141,1,1,0,0
U05654,treatment,mobile,25-34,91,0,0,0,0
U04000,control,mobile,45+,126,0,0,0,0
U06034,treatment,mobile,18-24,107,1,1,0,0
U00583,control,mobile,35-44,152,1,0,0,0
U09931,treatment,desktop,25-34,109,1,0,0,0
U07052,treatment,mobile,25-34,77,0,0,0,0
U08159,treatment,mobile,18-24,92,0,0,0,0
U09897,treatment,mobile,35-44,104,0,0,0,0
U02250,control,mobile,35-44,83,1,1,0,0
U04641,control,tablet,25-34,69,0,0,0,0
U09486,treatment,desktop,35-44,85,1,1,0,0
U04948,control,desktop,18-24,59,1,0,0,0
U09921,treatment,tablet,18-24,88,0,0,0,0
U01964,control,mobile,25-34,62,0,0,0,0
U08244,treatment,tablet,18-24,90,0,0,0,0
U06591,treatment,desktop,35-44,126,0,0,0,0
U08848,treatment,mobile,18-24,116,0,0,0,0
U00322,control,desktop,18-24,124,0,0,0,0
U02679,control,mobile,18-24,106,0,0,0,0
U04626,control,desktop,25-34,114,0,0,0,0
U04950,control,desktop,25-34,61,0,0,0,0
U08329,treatment,mobile,25-34,134,0,0,0,0
U03338,control,desktop,25-34,96,0,0,0,0
U05590,treatment,mobile,18-24,98,0,0,0,0
U00252,control,mobile,45+,78,1,1,1,103168
U03974,control,desktop,18-24,69,0,0,0,0
U06631,treatment,mobile,35-44,101,1,0,0,0
U05548,treatment,tablet,35-44,102,0,0,0,0
U00036,control,desktop,25-34,120,0,0,0,0
U08363,treatment,tablet,18-24,81,0,0,0,0
U01514,control,mobile,35-44,82,1,0,0,0
U09318,treatment,mobile,35-44,77,0,0,0,0
U00040,control,mobile,45+,86,0,0,0,0
U04820,control,mobile,25-34,66,0,0,0,0
U03466,control,desktop,18-24,114,1,0,0,0
U01761,control,mobile,18-24,93,0,0,0,0
U02305,control,tablet,18-24,94,0,0,0,0
U03724,control,mobile,25-34,65,1,0,0,0
U08285,treatment,tablet,25-34,128,0,0,0,0
U04994,control,desktop,35-44,71,0,0,0,0
U08128,treatment,desktop,25-34,92,0,0,0,0
U03033,control,desktop,18-24,60,1,0,0,0
U07939,treatment,mobile,25-34,114,1,0,0,0
U03040,control,mobile,45+,114,0,0,0,0
U09656,treatment,tablet,25-34,130,0,0,0,0
U02546,control,mobile,18-24,100,0,0,0,0
U02593,control,mobile,35-44,62,0,0,0,0
U01189,control,mobile,18-24,91,0,0,0,0
U07967,treatment,desktop,45+,107,0,0,0,0
U06078,treatment,mobile,35-44,165,0,0,0,0
U00108,control,desktop,18-24,139,0,0,0,0
U01316,control,desktop,45+,131,0,0,0,0
U08188,treatment,desktop,25-34,195,1,1,1,169623
U02754,control,mobile,25-34,45,0,0,0,0
U09754,treatment,desktop,18-24,83,1,1,1,216774
U06232,treatment,desktop,18-24,86,0,0,0,0
U02877,control,mobile,25-34,47,1,1,1,134351
U05324,treatment,desktop,45+,123,0,0,0,0
U00800,control,tablet,18-24,59,1,1,1,207105
U03571,control,mobile,25-34,133,0,0,0,0
U02895,control,mobile,25-34,120,0,0,0,0
U02928,control,tablet,35-44,103,0,0,0,0
U08179,treatment,mobile,25-34,110,1,1,1,109937
U00972,control,tablet,18-24,97,0,0,0,0
U06688,treatment,mobile,25-34,134,0,0,0,0
U08576,treatment,mobile,45+,167,1,0,0,0
U02021,control,tablet,25-34,64,1,1,1,155250
U09055,treatment,desktop,18-24,107,0,0,0,0
U00953,control,mobile,35-44,45,0,0,0,0
U05360,treatment,desktop,18-24,105,0,0,0,0
U03858,control,mobile,18-24,146,0,0,0,0
U05862,treatment,desktop,45+,158,0,0,0,0
U03146,control,mobile,18-24,120,0,0,0,0
U03306,control,mobile,18-24,93,0,0,0,0
U03007,control,desktop,35-44,69,1,0,0,0
U09002,treatment,mobile,18-24,66,0,0,0,0
U07771,treatment,mobile,35-44,129,1,1,1,394194
U07439,treatment,desktop,25-34,103,1,1,0,0
U07943,treatment,tablet,25-34,113,1,1,1,231368
U09239,treatment,desktop,35-44,118,0,0,0,0
U01057,control,desktop,25-34,60,0,0,0,0
U03155,control,mobile,35-44,119,0,0,0,0
U03788,control,mobile,35-44,11,0,0,0,0
U09190,treatment,mobile,25-34,112,0,0,0,0
U07826,treatment,mobile,25-34,109,1,1,1,266192
U07540,treatment,desktop,18-24,63,0,0,0,0
U07232,treatment,desktop,25-34,134,0,0,0,0
U00765,control,mobile,35-44,85,0,0,0,0
U05020,treatment,mobile,18-24,140,0,0,0,0
U04904,control,mobile,25-34,97,0,0,0,0
U08094,treatment,mobile,18-24,94,0,0,0,0
U06844,treatment,desktop,35-44,135,0,0,0,0
U02166,control,tablet,18-24,93,0,0,0,0
U01863,control,mobile,45+,100,0,0,0,0
U07851,treatment,tablet,18-24,130,0,0,0,0
U09124,treatment,tablet,35-44,86,0,0,0,0
